,age,workclass,fnlwgt,educational-num,marital-status,occupation,relationship,race,gender,capital-gain,capital-loss,hours-per-week,native-country,Predicted Income
0,25,4,226802,7,4,6,3,2,1,0,0,40,39,<=50K
1,38,4,89814,9,2,4,0,4,1,0,0,50,39,>50K
2,28,1,336951,12,2,11,0,4,1,0,0,40,39,>50K
3,44,4,160323,10,2,6,0,2,1,7688,0,40,39,>50K
4,18,3,103497,10,4,7,3,4,0,0,0,30,39,<=50K
5,34,4,198693,6,4,8,1,4,1,0,0,30,39,<=50K
6,29,3,227026,9,4,7,4,2,1,0,0,40,39,<=50K
7,63,6,104626,15,2,10,0,4,1,3103,0,32,39,>50K
8,24,4,369667,10,4,8,4,4,0,0,0,40,39,<=50K
9,55,4,104996,4,2,2,0,4,1,0,0,10,39,<=50K
10,65,4,184454,9,2,6,0,4,1,6418,0,40,39,>50K
11,36,0,212465,13,2,0,0,4,1,0,0,40,39,<=50K
12,26,4,82091,9,4,0,1,4,0,0,0,39,39,<=50K
13,58,3,299831,9,2,7,0,4,1,0,0,35,39,<=50K
14,48,4,279724,9,2,6,0,4,1,3103,0,48,39,>50K
15,43,4,346189,14,2,3,0,4,1,0,0,50,39,>50K
16,20,7,444554,10,4,8,3,4,1,0,0,25,39,<=50K
17,43,4,128354,9,2,0,5,4,0,0,0,30,39,<=50K
18,37,4,60548,9,6,6,4,4,0,0,0,20,39,<=50K
19,40,4,85019,16,2,10,0,1,1,0,0,45,27,>50K
20,34,4,107914,13,2,13,0,4,1,0,0,47,39,>50K
21,34,4,238588,10,4,8,3,2,0,0,0,35,39,<=50K
22,72,3,132015,4,0,7,1,4,0,0,0,6,39,<=50K
23,25,4,220931,13,4,10,1,4,1,0,0,43,29,<=50K
24,25,4,205947,13,2,10,0,4,1,0,0,40,39,<=50K
25,45,6,432824,9,2,2,0,4,1,7298,0,90,39,>50K
26,22,4,236427,9,4,0,3,4,1,0,0,20,39,<=50K
27,23,4,134446,9,5,6,4,2,1,0,0,54,39,<=50K
28,54,4,99516,9,2,2,0,4,1,0,0,35,39,<=50K
29,32,6,109282,10,4,10,1,4,1,0,0,60,39,<=50K
30,46,7,106444,10,2,3,0,2,1,7688,0,38,39,>50K
31,56,6,186651,7,6,8,4,4,0,0,0,50,39,<=50K
32,24,6,188274,13,4,12,1,4,1,0,0,50,39,<=50K
33,23,1,258120,10,2,11,0,4,1,0,0,40,39,<=50K
34,26,4,43311,9,0,3,4,4,0,0,0,40,39,<=50K
35,65,3,191846,9,2,7,0,4,1,0,0,40,39,<=50K
36,36,1,403681,13,2,10,0,4,1,0,0,40,39,>50K
37,22,4,248446,3,4,9,1,4,1,0,0,50,12,<=50K
38,17,4,269430,6,4,6,1,4,1,0,0,40,39,<=50K
39,20,4,257509,9,4,2,3,4,1,0,0,40,39,<=50K
40,65,4,136384,14,2,10,0,4,1,0,0,50,39,>50K
41,44,5,120277,11,2,12,0,4,1,0,0,45,39,>50K
42,36,4,465326,9,2,4,0,4,1,0,0,40,39,<=50K
43,29,4,103634,7,2,8,0,4,1,0,0,40,39,<=50K
44,20,7,138371,10,4,4,3,4,1,0,0,32,39,<=50K
45,28,4,242832,11,2,10,5,4,0,0,0,36,39,>50K
46,39,4,290208,4,2,2,0,4,1,0,0,40,25,<=50K
47,54,4,186272,10,2,14,0,4,1,3908,0,50,39,<=50K
48,52,4,201062,7,5,9,1,2,0,0,0,18,39,<=50K
49,56,5,131916,9,6,3,1,4,0,0,0,50,39,<=50K
50,18,4,54440,10,4,8,3,4,1,0,0,20,39,<=50K
51,39,4,280215,9,0,5,3,2,1,0,0,40,39,<=50K
52,21,4,214399,10,4,8,3,4,0,0,1721,24,39,<=50K
53,22,4,54164,9,4,8,1,4,1,14084,0,60,39,>50K
54,38,4,219446,5,3,3,1,4,1,0,0,54,25,<=50K
55,21,4,110677,10,4,0,3,4,0,0,0,40,39,<=50K
56,63,4,145985,9,2,2,0,4,1,0,0,40,39,<=50K
57,34,1,382078,13,2,3,0,4,1,3103,0,50,39,>50K
58,42,5,170721,9,2,3,0,4,1,5178,0,50,39,>50K
59,33,4,269705,9,2,5,0,4,1,0,0,40,39,<=50K
60,30,4,101135,13,4,3,1,4,0,0,0,50,39,<=50K
61,39,4,118429,10,0,12,1,4,1,0,0,40,39,<=50K
62,26,4,31208,14,4,3,1,4,0,0,0,40,39,<=50K
63,33,4,281384,9,4,6,3,4,0,0,0,40,39,<=50K
64,47,1,171807,9,0,0,1,4,0,0,0,40,39,<=50K
65,41,4,109912,13,4,8,1,4,0,0,0,40,27,<=50K
66,41,5,445382,12,2,2,0,4,1,15024,0,60,39,>50K
67,19,4,105460,10,4,8,3,4,1,0,0,20,39,<=50K
68,46,4,170338,9,5,14,1,4,1,0,0,40,39,<=50K
69,43,4,102606,9,2,12,0,4,1,0,0,48,39,>50K
70,55,4,323887,10,2,3,0,4,1,15024,0,45,39,>50K
71,46,4,175622,11,2,13,0,4,1,0,0,40,39,>50K
72,30,4,229636,9,2,6,0,4,1,0,0,40,25,<=50K
73,21,4,388946,10,5,5,1,4,0,0,0,40,39,<=50K
74,46,4,269034,10,2,2,0,3,1,0,0,40,5,<=50K
75,17,3,165361,6,4,7,3,4,1,0,0,40,39,<=50K
76,41,4,75012,9,2,6,0,4,1,0,0,50,39,<=50K
77,69,5,174379,9,2,12,0,4,1,0,0,30,39,<=50K
78,50,4,312477,9,2,14,0,4,1,0,0,40,39,<=50K
